Product Name;Variations;Rating;Username;Date;Review;Untruthful Opinion Pelabel 1;Untruthful Opinion Pelabel 2;Untruthful Opinion Pelabel 3;Non-Reviews Pelabel 1;Non-Reviews Pelabel 2;Non-Reviews Pelabel 3;Review Length;Burstiness;Maximum Content Similarity;Label Manual;Translated_Review;Tokenized_Review
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 01 METTA LOVE;2;l*****k;2023-12-30;Alhamdulillah paketnya udh sampai, sayang sekali kurang wangi aja;0;0;0;0;0;0;0;0;0;Asli;Alhamdulillah paketnya udh sampai, sayang sekali kurang wangi aja;['alhamdulillah', 'paket', 'sayang', 'kurang', 'wangi']
[BPOM APPROVED] Pelurus Rambut Tanpa Catok Cindynal Hair Mask Smooth And Moisten Hair Film No Steaming / Masker Rambut Creambath Hair Mask;Variasi: CINDYNAL HAIRMASK;2;liskilumbantobing_88;2023-12-17;Biasa aja;1;0;1;1;1;1;1;0;1;Palsu;Biasa aja;['biasa']
Salep Obat Kutil Paling Ampuh【EELHOE】Pen Wart Remover Penghilang TahiLalat dan Kutil Mata Ikan Antibakteri Untuk Pria Dan Wanita;Variasi: EELHOE TAHI LALAT;2;muh.husnil;2023-12-19;Gak sesuai pesanan kecewa;0;0;0;0;0;1;1;0;1;Asli;Gak sesuai pesanan kecewa;['tidak', 'sesuai', 'pesan', 'kecewa']
BISA COD TERMURAH Lameila BB Cream Foundation Korea Super Wearing Long Lasting 1001;Variasi: LML3802#02 LIGHTSKIN;1;nabiila_13;2023-12-29;Rusak isi nya belepotan;0;0;0;0;0;0;1;0;0;Asli;Rusak isi nya belepotan;['rusak', 'isi', 'belepotan']
Collagen Eye Mask Masker Mata Panda 60 Lembar Menghilangkan Kerutan Hitam dan Kantong Mata AMPUH;Variasi: RAINBOW;2;ndulstore08;2023-12-23;Aaaa joz;1;1;1;1;1;1;1;0;0;Palsu;Aaaa joz;['mantap']
[BPOM] CINDYNAL Aloevera 92% Gel Murni Natural 220g Pelembab Wajah Aloe Vera Soothing & Moisture Gel;Variasi: CINDYNAL BPOM 220ML;1;oneupup;2023-12-24;Lama;0;0;0;1;1;1;1;0;1;Palsu;Lama;['lama']
BISA COD Racun Tikus Mati Kering dan Tidak Bau - Mao Wang Racun Tikus Paling Ampuh Langsung Mati di Tempat;Variasi: 1 BUNGKUS;2;p*****n;2023-12-13;Agak kurang ampuuh;0;0;0;1;0;0;1;1;1;Palsu;Sedikit kurang bertenaga;['kurang', 'tenaga']
Krim Penghilang Karat, Noda Gosong, Kerak Panci / Stainless Steel Cleaning Paste;None;2;p*****n;2023-12-13;Belum dicoba;1;1;1;1;0;1;1;1;1;Palsu;Belum dicoba;['belum', 'coba']
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 02 MINUET;1;p4ky_kb3sf;2023-12-30;Tidak sesuai warna;0;0;0;0;0;0;1;0;1;Asli;Tidak sesuai warna;['tidak', 'sesuai', 'warna']
[ BISA COD ] Stiker Selamat Menikmati 1 Roll Isi 500 Pcs Ukuran 2,5 Cm Dan 3,5 Cm Sticker Thank You;Variasi: MENIKMATI 12,2.5 CM;2;panji_wisnu_aji8;2023-12-17;Penanganan lama + pengiriman lama;0;0;0;0;1;1;1;0;1;Palsu;Penanganan lama + pengiriman lama;['tangan', 'lama', 'kirim', 'lama']
Lameila 5059 Air Cushion Bb Moisturizing Cream;Variasi: 03 NATURAL;1;ridwanulfha;2023-12-19;Pesan bb moisturizing di kirim malah eyeshadow;0;0;0;0;0;0;1;0;0;Asli;Pesan bb pelembab di kirim malah eyeshadow;['pesan', 'lembab', 'kirim', 'eyeshadow']
SADOER Facial Cleanser Low pH Good Morning Face Wash / Sabun Cuci Muka Pembersih Wajah / Natural Beauty Brightening Gentle Skin Cleanser;Variasi: ALOE (MELEMBABKAN);1;rismawati_gemini;2023-12-25;Mengecewakan beli barang 2 yang sampe cuma 1;0;0;0;0;0;0;1;0;0;Asli;Mengecewakan beli barang 2 yang sampe cuma 1;['kecewa', 'beli', 'barang']
CINDYNAL Black Mask Charcoal Masker Arang Blackhead Anti Komedo Sadoer Black Mask;Variasi: CINDYNAL BLACK MASK;1;rosmely994;2023-12-28;Bagus;1;1;1;1;1;0;1;0;1;Palsu;Bagus;['bagus']
BISA COD Mao Wang Pembasmi Hama Tikus - Racun Tikus Ampuh Maowang Mati Kering Tidak Bau - Pembasi Tikus Maowang Dijamin Ampuh Dan Original;Variasi: 1 BUNGKUS;2;susantosanto585;2023-12-15;Bagus;1;1;1;1;1;0;1;0;1;Palsu;Bagus;['bagus']
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;1;syakhiraiskandar;2023-12-25;masa saya pesen 6 variasi tp yang ada cmn 3 mana teksturnya lengkett banget lagii, baunya kayak permen karet, pas dipake lengket banget di bibir, menurutku warnanya kurang keluar, pas di bibir susah banget nyerapnya, kalau udah kering bikin bibir kering jugaa, nyesel dehh pesen banyak banyak tp dpt zonk;0;0;0;0;0;0;1;0;0;Asli;masa saya pesen 6 variasi tp yang ada cmn 3 mana teksturnya lengkett banget lagii, baunya kayak permen karet, pas dipake lengket banget di bibir, menurutku warnanya kurang keluar, pas di bibir susah banget nyerapnya, kalau udah kering bikin bibir kering jugaa, nyesel dehh pesen banyak banyak tp dpt zonk;['pesan', 'variasi', 'tekstur', 'lengket', 'banget', 'bau', 'permen', 'karet', 'pas', 'pakai', 'lengket', 'banget', 'bibir', 'warna', 'kurang', 'pas', 'bibir', 'susah', 'banget', 'serap', 'kering', 'bikin', 'bibir', 'kering', 'sesal', 'pesan', 'bodoh']
[ COD ] Sadoer Foot Mask Masker Kaki Perawatan kaki Tumit Pecah dan Kering Pengelupas Kulit Mati Import;Variasi: MASKER KAKI LAVENDER;2;tya_artika01;2023-12-13;Gk sesuai pesanan;0;0;0;0;0;1;1;0;1;Asli;Gk sesuai pesanan;['tidak', 'sesuai', 'pesan']
LAMEILA Concealer Cream Moisturizing Makeup Base 3075;Variasi: LM 3075 NATURAL;1;vitriazahra03;2023-12-28;Pelayanan tokonya tidak bagus,barang yg dipesan tidak sesuai yang datang😡;0;0;0;0;0;0;0;1;1;Asli;Pelayanan tokonya tidak bagus,barang yg dipesan tidak sesuai yang datang😡;['layan', 'toko', 'tidak', 'bagus', 'barang', 'pes', 'tidak', 'sesuai']
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 05 TWEET YOUNG;1;vuwfti3fkg;2023-12-29;Kurang bagus;1;0;0;1;1;1;1;0;1;Palsu;Kurang bagus;['kurang', 'bagus']
LAMEILA 2028 Matte Lipstick Liquid Korean Lipstik Lip Glaze Korean Lip Gloss Waterproof;Variasi: 03 SWEET BEAN;1;yessicayessica879;2023-12-23;Cocok tidak sesuai ekspetasi;1;0;1;1;1;1;1;0;1;Palsu;Cocok tidak sesuai ekspetasi;['cocok', 'tidak', 'sesuai', 'ekspektasi']
CINDYNAL Her Dragon Ranee Lip Gloss Moisturizing Lip Glow;Variasi: 04 INSTA GLAM;2;zalfasyakira28;2023-12-17;Maaf kak saya memesan nya 2 tapi datangnya cuman 1;0;0;0;0;0;0;1;0;0;Asli;Maaf kak saya memesan nya 2 tapi datangnya cuman 1;['maaf', 'kakak', 'pesan']
sepatu running pria adidas eqt21 run white strip black oren;Variasi: Hitam,41;5;109bgone;2023-03-03;Makasih bos barang nya tunggu pesanan selanjutnya;0;0;0;0;0;1;1;0;0;Asli;Makasih bos barang nya tunggu pesanan selanjutnya;['terima', 'kasih', 'bos', 'barang', 'tunggu', 'pesan']
SALE TERMURAH !!! ADDS EQT21 RUN;Variasi: Black silver,41;4;5o4e255vzx;2023-08-14;sayangnya yang saya pesan yang pake line hitam tapi yang datang polos;0;0;0;0;0;0;0;0;0;Asli;sayangnya yang saya pesan yang pake garis hitam tapi yang datang polos;['sayang', 'pesan', 'pakai', 'garis', 'hitam', 'polos']
SALE TERMURAH !!! ADDS EQT21 RUN;Variasi: Black white oren,44;5;61cbb;2023-09-24;Packingnya rapi, respon penjualnya cepat, barangnya sesuai dan bagus banget. Seller ramah, kurirnyapun juga ramah.....;0;0;0;0;0;0;0;0;0;Asli;Pengemasannya rapi, respon penjualnya cepat, barangnya sesuai dan bagus banget. Penjual ramah, kurirnyapun juga ramah.....;['kemas', 'rapi', 'respon', 'jual', 'cepat', 'barang', 'sesuai', 'bagus', 'banget', 'jual', 'ramah', 'kurir', 'ramah']
Sepatu running pria original adidas duramo 10 black white strip white;Variasi: Hitam,38;5;8lcmshybiz;2023-05-22;bagus bgt;0;0;0;1;1;0;1;0;1;Palsu;bagus bgt;['bagus', 'banget']
sepatu running sneakers pria adds runfalcon;Variasi: Black white oren,41;5;Pengguna Shopee;2023-06-25;Bagusss;0;0;0;1;1;0;1;0;1;Palsu;Bagusss;['bagus']
Sepatu running pria original adidas racer tr21 full black silver Oren;Variasi: Hitam,40;5;a*****4;2023-01-30;terimakasih seller terimaksih shopee barang dah sampe;0;0;0;1;1;1;1;0;1;Palsu;terimakasih penjual terimaksih shopee barang dah sampe;['terima', 'kasih', 'jual', 'terima', 'kasih', 'shopee', 'barang']
sepatu sneakers pria navy white oren;Variasi: Navy white,43;4;a*****7;2023-12-28;lumayan bagus;0;0;0;1;1;0;1;0;1;Palsu;lumayan bagus;['lumayan', 'bagus']
sepatu sneakers wanita women style adidas running run Falcon 3.0;Variasi: White,42;5;a*****s;2023-04-08;Bagus. Tapi uk 42 kecil, jadi ngepass. Mungkin kalo 43 lebih enak dipakai;0;0;0;0;0;0;0;0;0;Asli;Bagus. Tapi uk 42 kecil, jadi ngepass. Mungkin kalo 43 lebih enak dipakai;['bagus', 'ukur', 'pas', 'pakai']
sepatu sneakers pria eqt21 run cold.rdy carbon grey core black;Variasi: Carbon grey core bla,43;5;a13h1;2023-10-01;Barang sangat bagus dan baik lagi👍👍;0;0;0;1;0;0;1;0;1;Asli;Barang sangat bagus dan baik lagi👍👍;['barang', 'bagus', 'baik']
sepatu sneakers pria ad!das eqt21 run white oren;Variasi: White oren,40;4;abdullani998;2023-09-15;keren;0;0;0;1;1;1;1;0;1;Palsu;keren;['keren']
sepatu sneakers sepatu running adidas run Falcon 3.0 black white strip white;Variasi: Black white,37;4;aciprilis;2023-05-26;Sesuai pesanan trimakasih ✨✨;0;0;0;1;1;0;1;0;1;Palsu;Sesuai pesanan trimakasih ✨✨;['sesuai', 'pesan', 'terima', 'kasih']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white silver,41;4;adeliaputrieuis;2023-04-16;Mantepp dahh;0;0;0;1;1;1;1;0;0;Asli;Mantepp dahh;['mantap']
Sale ramadhan !!! Sepatu running pria adidas galaxar bounce full black;Variasi: Black,43;5;adhityapr;2023-04-04;barang mantap;0;0;0;0;1;1;1;0;1;Palsu;barang mantap;['barang', 'mantap']
promo ramadhan !!! sepatu sneakers running sepatu running pria adds duramo 10;Variasi: Grey six,43;5;aepprasetya;2023-09-08;Jangan ragu belanja di toko ini🤟👍;0;1;0;1;1;1;1;0;1;Palsu;Jangan ragu belanja di toko ini🤟👍;['jangan', 'ragu', 'belanja', 'toko']
sepatu running pria adidas eqt21 run solar red strip black;Variasi: Solar red,42;5;agusroj;2023-01-07;Pengiriman gercep, mantab lah;0;0;0;1;1;1;1;0;0;Asli;Pengiriman gercep, mantab lah;['kirim', 'gercep', 'mantap']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white silver,44;5;ahmadmsyffa;2023-04-17;Barang sampai dengan selamat tanpa ada cacat. Sesuai pesanan Terimakasih;0;0;0;0;0;0;0;0;1;Asli;Barang sampai dengan selamat tanpa ada cacat. Sesuai pesanan Terimakasih;['barang', 'selamat', 'tanpa', 'cacat', 'sesuai', 'pesan', 'terima', 'kasih']
sepatu running pria adidas eqt21 run full black;Variasi: Full black,42;3;ahmadnaufaal;2023-09-14;yaaa silahkan nilai sendiri;1;1;1;1;1;1;1;0;0;Palsu;yaaa silahkan nilai sendiri;['sila', 'nilai']
promo ramadhan !!! sepatu sneakers running sepatu running pria adds duramo 10 grey six white oren;Variasi: Grey six,41;5;ahmadsyaifularifin765;2023-04-20;Seler ramah,, barang sesuai foto;0;0;0;1;0;0;1;0;0;Asli;Penjual ramah,, barang sesuai foto;['jual', 'ramah', 'barang', 'sesuai', 'foto']
sepatu sneakers running sepatu sekolah sepatu adidas run Falcon 3.0 full black;Variasi: Hitam,41;4;ai_solihat24;2023-07-24;Di deskripsinya ori tp pas datang barangnya keliatan kw nya lemnya di pinggir keliatan tidak rapih;0;0;0;0;0;0;0;0;0;Asli;Di deskripsinya ori tp pas datang barangnya keliatan kw nya lemnya di pinggir keliatan tidak rapih;['deskripsi', 'original', 'pas', 'barang', 'imitasi', 'lem', 'pinggir', 'tidak', 'rapi']
sepatu running lari wanita Adds Falcon 3.0 new;Variasi: White blue,38;5;aira24727;2023-08-26;harga oke kualitas pun oke;0;0;0;0;0;0;1;0;0;Asli;harga oke kualitas pun oke;['harga', 'oke', 'kualitas', 'oke']
sepatu running lari wanita Adds Falcon 3.0 new;Variasi: White multicolour,37;5;ajex212;2023-10-29;Keren;0;0;0;1;1;1;1;0;1;Palsu;Keren;['keren']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white oren,41;5;albertoherbas91;2023-03-09;Semoga awet,;0;0;0;1;1;1;1;0;1;Palsu;Semoga awet,;['moga', 'awet']
SALE TERMURAH !!! ADDS EQT21 RUN;Variasi: Black silver,40;5;aldianalfaris;2023-08-30;Bagus!!!;0;0;0;1;1;0;1;0;1;Palsu;Bagus!!!;['bagus']
SALE TERMURAH !!! ADDS EQT21 RUN;Variasi: Grey oren,43;5;alfa22cell;2023-08-22;Paket sudah nyampe dengan aman pengiriman cepat kemasan profesional produk realpict sesuai pesanan bagus banget nyaman dipakai pas ukurannya ngga kecewa belanja ditoko ini seller amanah kurir sopan. Terima kasih seller mas kurir. SHOPEE memang mantuuuuuullll;0;0;0;0;0;0;0;0;1;Asli;Paket sudah nyampe dengan aman pengiriman cepat kemasan profesional produk gambar asli sesuai pesanan bagus banget nyaman dipakai pas ukurannya ngga kecewa belanja ditoko ini penjual amanah kurir sopan. Terima kasih penjual mas kurir. SHOPEE memang mantuuuuuullll;['paket', 'aman', 'kirim', 'cepat', 'kemas', 'profesional', 'produk', 'gambar', 'asli', 'sesuai', 'pesan', 'bagus', 'banget', 'nyaman', 'pakai', 'pas', 'ukur', 'tidak', 'kecewa', 'belanja', 'toko', 'jual', 'amanah', 'kurir', 'sopan', 'terima', 'kasih', 'jual', 'mas', 'kurir', 'shopee', 'mantap']
promo ramadhan !!! sepatu sneakers running sepatu running pria adds duramo 10 grey six white oren;Variasi: Grey six,40;5;alfianaike;2023-04-26;Bagus;0;0;0;1;1;0;1;0;1;Palsu;Bagus;['bagus']
sepatu sneakers pria ad!das eqt21 run white oren;Variasi: Black white oren,40;5;alisa_qotrunnada11;2023-12-03;bagus;0;0;0;1;1;0;1;0;1;Palsu;bagus;['bagus']
sepatu pria sepatu running adds duramo 10 grey ocean oren;Variasi: Grey ocean,43;1;ambarsari116;2023-05-05;Burukkk, produk tidak ORI.. tp lokal;0;0;0;0;0;0;1;1;1;Palsu;Burukkk, produk tidak ORI.. tp lokal;['buruk', 'produk', 'tidak', 'original', 'lokal']
sepatu running sneakers pria ad!das runfalcon navy blue;Variasi: Navy blue,42;5;ambarsari116;2023-01-21;Bagus;0;0;0;1;1;0;1;0;1;Palsu;Bagus;['bagus']
sepatu sneakers running sepatu adds r4n Falcon white strip black;Variasi: White black,39;5;anasilviana26;2023-10-16;bagus;0;0;0;1;1;0;1;0;1;Palsu;bagus;['bagus']
sepatu sneakers pria ad!das eqt21 run white oren;Variasi: Black white oren,41;2;andikoyos;2023-12-29;Tidak sesuai sama yg di pesan, yg di pesan ukuran 41, yg datang 41½;0;0;0;0;0;0;0;0;1;Asli;Tidak sesuai sama yg di pesan, yg di pesan ukuran 41, yg datang 41½;['tidak', 'sesuai', 'pesan', 'pesan', 'ukur']
sepatu running sneakers pria adds runfalcon;Variasi: Black white silver,42;5;andisibuea102;2023-06-27;Sesuai dengan harga;0;0;0;1;1;1;1;0;1;Palsu;Sesuai dengan harga;['sesuai', 'harga']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white silver,41;5;anwarsport955;2023-03-10;Mantul;0;0;0;1;1;1;1;0;1;Palsu;Mantul;['mantap']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white silver,42;5;aqshamasjidil;2023-05-11;Barang oke punya , gak nyesel . Pelayanan baik banget cepat tepat , pengiriman cepat . good job;0;0;0;0;0;0;0;0;0;Asli;Barang oke punya , gak nyesel . Pelayanan baik banget cepat tepat , pengiriman cepat . kerja bagus;['barang', 'oke', 'tidak', 'sesal', 'layan', 'baik', 'banget', 'cepat', 'kirim', 'cepat', 'bagus']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white silver,40;5;ariefcahbejhat;2023-04-16;Bagus, keren;0;0;0;1;1;0;1;0;0;Asli;Bagus, keren;['bagus', 'keren']
sepatu sneakers pria ad!das eqt21 run white oren;Variasi: White oren,41;5;asep_51066;2023-07-17;bagus;0;0;0;1;1;0;1;0;1;Palsu;bagus;['bagus']
sepatu sneakers pria adidas eqt21 run grey/oren;Variasi: Grey,40;5;asepnajwan;2023-11-05;sesuai;0;0;0;1;1;1;1;0;1;Palsu;sesuai;['sesuai']
Termurah !!! sepatu sneakers running wanita eqt21 run black peace;Variasi: Black peach,39;5;astri_noor_diana19;2023-08-14;Sesuai pesanan;0;0;0;1;1;1;1;0;1;Palsu;Sesuai pesanan;['sesuai', 'pesan']
sepatu sneakers pria eqt21 run cold.rdy carbon grey core black;Variasi: Carbon grey core bla,42;5;auliarohman664;2023-09-13;bagus;0;0;0;1;1;0;1;0;1;Palsu;bagus;['bagus']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white silver,41;1;azwanakarya;2023-03-24;Kenapa jelek sekali, Ini sepatu bahannya jelek sekali Kecewa banget saya......;0;0;0;0;1;0;0;0;0;Asli;Kenapa jelek sekali, Ini sepatu bahannya jelek sekali Kecewa banget saya......;['jelek', 'sepatu', 'bahan', 'jelek', 'kecewa', 'banget']
sepatu running sneakers pria sepatu adidas eqt21 run black white silver;Variasi: Black silver,42;5;b*****n;2023-10-11;Bagus dan murah;0;0;0;1;1;0;1;0;1;Palsu;Bagus dan murah;['bagus', 'murah']
sepatu sneakers pria ad!das eqt21 run white oren;Variasi: Black white oren,42;1;barbar942;2023-11-07;Kapok belanja ditoko ini;1;0;0;1;1;1;1;0;1;Palsu;Kapok belanja ditoko ini;['kapok', 'belanja', 'toko']
sepatu sneakers running Questar soft pink;Variasi: Soft pink,37;4;blacktafara;2023-09-01;Keren mantep,,, recomended;0;0;0;1;1;1;1;0;0;Asli;Keren mantep,,, direkomendasikan;['keren', 'mantap', 'rekomendasi']
sepatu sneakers pria sepatu running pria eqt21 cold.rdy  run olive;Variasi: Olive,42;5;boboyboby;2023-09-12;Mantap;0;0;0;1;1;1;1;0;1;Palsu;Mantap;['mantap']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white,44;4;brahamloram;2023-02-22;pengiriman cepat;0;0;0;1;1;1;1;0;1;Palsu;pengiriman cepat;['kirim', 'cepat']
sepatu sneakers pria cord.rdy black white strip white;Variasi: Black white,40;5;broment;2023-10-19;Ya semoga awet;0;0;0;1;1;1;1;0;1;Palsu;Ya semoga awet;['iya', 'moga', 'awet']
sepatu running sneakers pria ad!das runfalcon 3.0;Variasi: Black white silver,40;3;choi_huda;2023-05-18;Barang lumayan lah;0;0;0;1;1;1;1;0;1;Palsu;Barang bagus;['barang', 'bagus']
sepatu sneakers wanita women style adidas running run Falcon 3.0;Variasi: White,41;5;chyntia323;2023-04-01;Sukaa bgt sm sepatunya 😍 Tampilan bagus, dipakainya ringan banget banget, ga licin sm skali, yg pasti nyaman. Seneng sm seller nya yg super ramah, fast respon dan apa yg di tny dan di minta, dilayani baik bgt 😍 thanks seller ❤ Fyi : Sy biasa pakai insole 25.5 cm ini pakai sz 41 muat yaa.. Ukuran sepatunya pas mmg std kaki indo 💙💙 Oh yaa soal pengiriman nya jg gercep sat set bgt jempol lah utk toko ini 🥰;0;0;0;0;0;0;1;0;0;Asli;Sukaa bgt sm sepatunya 😍 Tampilan bagus, dipakainya ringan banget banget, ga licin sm skali, yg pasti nyaman. Seneng sm penjual nya yg super ramah, respon cepat dan apa yg di tny dan di minta, dilayani baik bgt 😍 thanks penjual ❤ Fyi : Sy biasa pakai insole 25.5 cm ini pakai sz 41 muat yaa.. Ukuran sepatunya pas mmg std kaki indo 💙💙 Oh yaa soal pengiriman nya jg gercep sat set bgt jempol lah utk toko ini 🥰;['suka', 'banget', 'sepatu', 'tampil', 'bagus', 'pakai', 'ringan', 'banget', 'banget', 'tidak', 'licin', 'nyaman', 'senang', 'jual', 'super', 'ramah', 'respon', 'cepat', 'layan', 'baik', 'banget', 'terima', 'kasih', 'jual', 'informasi', 'biasa', 'pakai', 'insole', 'centimeter', 'pakai', 'ukur', 'muat', 'ukur', 'sepatu', 'pas', 'standar', 'kaki', 'indonesia', 'kirim', 'gercep', 'banget', 'jempol', 'toko']
sepatu running sneakers pria sepatu adidas eqt21 run black white silver;Variasi: Black silver,40;4;ciciromansyah91;2023-10-30;tidak sesuai dg pesanan;0;1;0;0;1;1;1;0;1;Palsu;tidak sesuai dg pesanan;['tidak', 'sesuai', 'pesan']
Sepatu running pria original adidas duramo 10 black white strip white;Variasi: Full black,43;5;d*****2;2023-08-17;sesuai;0;0;0;1;1;1;1;0;1;Palsu;sesuai;['sesuai']
